Messier;NGC;ObjectType;Season;Magnitude;Constellation;RA;December;DistanceLY;ApparentSizeArcSec;Discoverer;DiscoveryYear;ConstellationAbbr;Description
M30;NGC 7099;Globular Cluster;Autumn;7;Capricornus;21:40:22.02;-23:10:44.7;41000;8,9;Messier;1764;Cap;
M12;NGC 6218;Globular Cluster;Summer;6;Ophiuchus;16:47:14.52;-01:56:52.2;18900;12,2;Messier;1764;Oph;
M13;NGC 6205;Globular Cluster;Summer;5;Hercules;16:41:41.63;+36:27:40.7;23500;23,2;Halley;1714;Her;
M19;NGC 6273;Globular Cluster;Summer;7;Ophiuchus;17:02:37.68;-26:16:04.6;22500;5,3;Messier;1764;Oph;
M26;NGC 6694;Open Cluster;Summer;8;Scutum;18:45:18.66;-09:23:01.0;5100;15,0;Le Gentil;1749;Sct;
M32;NGC 221;Galaxy;Autumn;8;Andromeda;00:42:41.83;+40:51:55.0;;7,6 x 5,8;Le Gentil;1749;And;
M38;NGC 1912;Open Cluster;Winter;6;Auriga;05:28:42.49;+35:51:17.7;2750;21,0;Hodierna;1654;Aur;
M42;NGC 9176;Emission Nebula;Winter;4;Orion;05:35:16.48;-05:23:22.8;1500;30,0;Peiresc;1610;Ori;
M43;NGC 1982;Reflection Nebula;Winter;9;Orion;05:35:31.38;-05:16:02.9;1500;20,0 x 15,0;Mairan;1750;Ori;
M45;;Open Cluster;Winter;1;;;;410;120,0;;;;
M52;NGC 7654;Open Cluster;Autumn;6;Cassiopeia;23:24:48.40;+61:35:35.4;3000;13,0;Messier;1774;Cas;
M53;NGC 5024;Globular Cluster;Spring;7;Coma Berenices;13:12:55.23;+18:10:08.8;69000;14,4;Bode;1775;Com;
M55;NGC 6809;Globular Cluster;Summer;7;Sagittarius;19:39:59.40;-30:57:43.5;20000;14,8;Lacaille;1751;Sgr;
M58;NGC 4579;Galaxy;Spring;9;Virgo;12:37:43.52;+11:49:05.5;41000000;5,4 x 4,4;Messier;1779;Vir;
M60;NGC 4649;Galaxy;Spring;8;Virgo;12:43:39.98;+11:33:09.7;41000000;7,2 x 6,2;Koehler;1779;Vir;
M68;NGC 4590;Globular Cluster;Spring;8;Hydra;12:39:28.01;-26:44:34.9;36000;9,8;Méchain;1780;Hya;
M83;NGC 5236;Galaxy;Spring;7;Hydra;13:37:00.95;-29:51:55.5;8500000;11,0 x 10,0;Lacaille;1751;Hya;
M86;NGC 4406;Galaxy;Spring;9;Virgo;12:26:11.74;+12:56:46.4;20000000;7,4 x 5,5;Messier;1781;Vir;
M47;NGC 2422;Open Cluster;Winter;4;Puppis;07:36:35.02;-14:28:57.4;1750;22,0;Hodierna;1654;Pup;
M65;NGC 3623;Galaxy;Spring;9;Leo;11:18:55.92;+13:05:32.5;29000000;10,0 x 3,3;Méchain;1780;Leo;
M79;NGC 1904;Globular Cluster;Winter;8;Lepus;05:24:10.59;-24:31:27.2;43400;7,8;Méchain;1780;Lep;
M84;NGC 4374;Galaxy;Spring;9;Virgo;12:25:03.74;+12:53:13.1;41000000;5,0 x 4,4;Messier;1781;Vir;
M20;NGC 6514;Emission Nebula;Summer;6;Sagittarius;18:02:42.11;-22:58:18.8;2300;29,0 x 27,0;Le Gentil;1749;Sgr;
M10;NGC 6254;Globular Cluster;Summer;6;Ophiuchus;16:57:08.99;-04:05:57.6;16300;12,2;Messier;1764;Oph;
M14;NGC 6402;Globular Cluster;Summer;7;Ophiuchus;17:37:36.16;-03:14:45.3;24000;6,7;Messier;1764;Oph;
M24;NGC 6603;Open Cluster;Summer;11;Sagittarius;18:16:56.12;-18:30:52.4;16000;45,0;Messier;1764;Sgr;
M33;NGC 598;Galaxy;Autumn;5;Triangulum;01:33:50.89;+30:39:36.8;2723000;62,0. x 39,0;Messier;1764;Tri;
